link,title,rating,ratingcount,price,sold_quantity
https://m.media-amazon.com/images/I/61-39gvsZWL._AC_UY218_.jpg,"Google Pixel 9a with Gemini - Unlocked Android Smartphone with Incredible Camera and AI Photo Editing, All-Day Battery, and Powerful Security - Iris - 128 GB",3.9 out of 5 stars,56,,
https://m.media-amazon.com/images/I/71VV0kyOKCL._AC_UY218_.jpg,"Samsung Galaxy A16 5G A Series Cell Phone, Unlocked Android Smartphone, Large AMOLED Display, Durable Design, Super Fast Charging, Expandable Storage, US Version, 2025, Light Gray",4.2 out of 5 stars,797,174,
https://m.media-amazon.com/images/I/81xDumBYGBL._AC_UY218_.jpg,"AT&T BL102-3 DECT 6.0 3-Handset Cordless Phone for Home with Answering Machine, Call Blocking, Caller ID Announcer, Audio Assist, Intercom, and Unsurpassed Range, Silver/Black",4.2 out of 5 stars,"29,748",70,
https://m.media-amazon.com/images/I/61oY6gaN-KL._AC_UY218_.jpg,"LC30Pro Hybrid Active Noise Cancelling Headphones Over Ear, 100H Playtime Wireless Bluetooth Headphones with Mic, HiFi Audio, 3 EQ Modes, Low Latency, Foldable for Gaming/Travel/Office",4.5 out of 5 stars,97,,
https://m.media-amazon.com/images/I/612jJWCgFcL._AC_UY218_.jpg,"Samsung Galaxy A36 5G A Series Cell Phone, 128GB Unlocked Android Smartphone, AMOLED Display, Rugged Design, US Version, 2025, US 1 Yr Manufacturer Warranty, Awesome Lavender",4.4 out of 5 stars,49,349,
https://m.media-amazon.com/images/I/31LfJndQrPL._AC_UY218_.jpg,"IOGEAR 100W USB-C GaN Wall Charger, Compact PD 3.0 Fast Charger with Foldable Plug, Travel-Ready Power Adapter for MacBook Pro, iPhone 15 Pro Max, Galaxy S24 Ultra, Steam Deck — GPAWC100W",5.0 out of 5 stars,5,,
https://m.media-amazon.com/images/I/71pYt-PtJ+L._AC_UL320_.jpg,"TORRAS Strong Magnetic & Seamless Stand for iPhone 16 Pro Case, [18N Mighty Magnetic] [12FT Mil-Grade Drop Tested] [Fit for MagSafe] Kickstand Protective Slim Phone Case for iPhone 16 Pro 6.3"", Black",4.6 out of 5 stars,"1,405",,
https://m.media-amazon.com/images/I/71pYt-PtJ+L._AC_UL320_.jpg,"TORRAS Strong Magnetic & Seamless Stand for iPhone 16 Pro Case, [18N Mighty Magnetic] [12FT Mil-Grade Drop Tested] [Fit for MagSafe] Kickstand Protective Slim Phone Case for iPhone 16 Pro 6.3"", Black",4.6 out of 5 stars,"1,405",,
https://m.media-amazon.com/images/I/91Ccu5Y2jXL._AC_UL320_.jpg,"TUCCH Wallet Case for iPhone 16, [RFID Blocking] 4 Card Holder Kickstand [Shockproof TPU Interior Case] PU Leather Magnetic Closure Protective Flip Cover Compatible with iPhone 16 5G 2024, Black",4.6 out of 5 stars,"1,104",,
https://m.media-amazon.com/images/I/81FYY7DVOFL._AC_UL320_.jpg,"Magnetic for iPhone 16 Pro Max Leather Case,Built-in Invisible Stand [Compatible with Magsafe] Protective Slim Kickstand Phone Cover Compatible with iPhone 16 Pro Max (2024) 6.9"" (Brown)",4.4 out of 5 stars,"1,707",,
https://m.media-amazon.com/images/I/81JwdmWPVWL._AC_UL320_.jpg,"TUCCH Wallet Case for iPhone 13 Pro Max, RFID Blocking Card Slot Stand Phone Case with Shockproof TPU Interior Shell, PU Leather Magnetic Flip Cover Compatible with iPhone 13 Pro Max 6.7"", Black",4.5 out of 5 stars,"1,337",,
https://m.media-amazon.com/images/I/81ZwcA9828L._AC_UL320_.jpg,"SUPFINE Magnetic for iPhone 15 Pro Max Case, [Compatible with MagSafe] [15 FT Military Grade Drop Protection] [Dual Layer Structure Design] Heavy Duty Shockproof Phone Case 6.7 inch, Black",4.5 out of 5 stars,"6,455",,
